# docs/_GOLDENS.tsv - recorded by docs/_gate.sh --record at git tag end-of-44.
# The baseline is a TAG, not a working tree: an uncommitted edit moves these numbers.
# assets: 1305121168
# columns: scene	config	pass	ink	draws	objects	ppm_sha256_16
# MANDATORY - resolves entirely to tracked .pb; a fresh clone must reproduce these.
lion	default	1	77543	4	1	nondet(splat)
lion	default	2	77543	4	1	nondet(splat)
lion	VIEWER_LINE_STYLE=tubes	1	77543	4	1	nondet(splat)
lion	VIEWER_LINE_STYLE=tubes	2	77543	4	1	nondet(splat)
lion	VIEWER_REBUILD=1	1	7109	3	1	nondet(splat)
lion	VIEWER_REBUILD=1	2	7109	3	1	nondet(splat)
lion	VIEWER_INCREMENTAL=1	1	77543	4	1	nondet(splat)
lion	VIEWER_INCREMENTAL=1	2	77543	4	1	nondet(splat)
bunny	default	1	44215	9	6	nondet(mesh)
bunny	default	2	44215	9	6	nondet(mesh)
bunny	VIEWER_LINE_STYLE=tubes	1	43954	8	6	nondet(mesh)
bunny	VIEWER_LINE_STYLE=tubes	2	43954	8	6	nondet(mesh)
bunny	VIEWER_REBUILD=1	1	44215	9	6	nondet(mesh)
bunny	VIEWER_REBUILD=1	2	44215	9	6	nondet(mesh)
bunny	VIEWER_INCREMENTAL=1	1	44215	9	6	nondet(mesh)
bunny	VIEWER_INCREMENTAL=1	2	44215	9	6	nondet(mesh)
bunny_cloud	default	1	7511	4	1	nondet(splat)
bunny_cloud	default	2	7511	4	1	nondet(splat)
bunny_cloud	VIEWER_LINE_STYLE=tubes	1	7511	4	1	nondet(splat)
bunny_cloud	VIEWER_LINE_STYLE=tubes	2	7511	4	1	nondet(splat)
bunny_cloud	VIEWER_REBUILD=1	1	8361	3	1	nondet(splat)
bunny_cloud	VIEWER_REBUILD=1	2	8361	3	1	nondet(splat)
bunny_cloud	VIEWER_INCREMENTAL=1	1	7511	4	1	nondet(splat)
bunny_cloud	VIEWER_INCREMENTAL=1	2	7511	4	1	nondet(splat)
drawings_rotated	default	1	25043	10	155465	nondet(mesh)
drawings_rotated	default	2	25043	10	155465	nondet(mesh)
drawings_rotated	VIEWER_LINE_STYLE=tubes	1	24970	9	155465	nondet(mesh)
drawings_rotated	VIEWER_LINE_STYLE=tubes	2	24970	9	155465	nondet(mesh)
drawings_rotated	VIEWER_REBUILD=1	1	56405	9	5	nondet(mesh)
drawings_rotated	VIEWER_REBUILD=1	2	56405	9	5	nondet(mesh)
drawings_rotated	VIEWER_INCREMENTAL=1	1	25043	10	155465	nondet(mesh)
drawings_rotated	VIEWER_INCREMENTAL=1	2	25043	10	155465	nondet(mesh)
# ADVISORY - local-only scenes; gitignored .pb assets. Never fails the gate.
drawings	default	1	51565	10	744040	44ddc4171fc50953
drawings	default	2	51565	10	744040	44ddc4171fc50953
drawings	VIEWER_LINE_STYLE=tubes	1	51507	9	744040	7dfb44e580e84bb8
drawings	VIEWER_LINE_STYLE=tubes	2	51507	9	744040	7dfb44e580e84bb8
drawings	VIEWER_REBUILD=1	1	55234	9	5	422819286f0691d3
drawings	VIEWER_REBUILD=1	2	55234	9	5	422819286f0691d3
drawings	VIEWER_INCREMENTAL=1	1	51565	10	744040	44ddc4171fc50953
drawings	VIEWER_INCREMENTAL=1	2	51565	10	744040	44ddc4171fc50953
bunny_drawings	default	1	46464	11	148560	nondet(splat)
bunny_drawings	default	2	46464	11	148560	nondet(splat)
bunny_drawings	VIEWER_LINE_STYLE=tubes	1	46316	10	148560	nondet(splat)
bunny_drawings	VIEWER_LINE_STYLE=tubes	2	46316	10	148560	nondet(splat)
bunny_drawings	VIEWER_REBUILD=1	1	44215	9	6	nondet(splat)
bunny_drawings	VIEWER_REBUILD=1	2	44215	9	6	nondet(splat)
bunny_drawings	VIEWER_INCREMENTAL=1	1	46464	11	148560	nondet(splat)
bunny_drawings	VIEWER_INCREMENTAL=1	2	46464	11	148560	nondet(splat)
cloud_mix	default	1	7469	11	210892	nondet(splat)
cloud_mix	default	2	7469	11	210892	nondet(splat)
cloud_mix	VIEWER_LINE_STYLE=tubes	1	7455	10	210892	nondet(splat)
cloud_mix	VIEWER_LINE_STYLE=tubes	2	7455	10	210892	nondet(splat)
cloud_mix	VIEWER_REBUILD=1	1	42526	9	6	nondet(splat)
cloud_mix	VIEWER_REBUILD=1	2	42526	9	6	nondet(splat)
cloud_mix	VIEWER_INCREMENTAL=1	1	7469	11	210892	nondet(splat)
cloud_mix	VIEWER_INCREMENTAL=1	2	7469	11	210892	nondet(splat)
lidar14	default	1	3549	4	1	nondet(splat)
lidar14	default	2	3549	4	1	nondet(splat)
lidar14	VIEWER_LINE_STYLE=tubes	1	3549	4	1	nondet(splat)
lidar14	VIEWER_LINE_STYLE=tubes	2	3549	4	1	nondet(splat)
lidar14	VIEWER_REBUILD=1	1	737	3	1	nondet(splat)
lidar14	VIEWER_REBUILD=1	2	737	3	1	nondet(splat)
lidar14	VIEWER_INCREMENTAL=1	1	3549	4	1	nondet(splat)
lidar14	VIEWER_INCREMENTAL=1	2	3549	4	1	nondet(splat)
